timestamp,pax_azimuth_deg,pax_ellipticity_deg,pax_theta_deg,pax_eta_deg,pax_dop,pax_power_w,pax_wavelength_nm
1777573859.7698176,76.82074877665295,6.467203816759654,76.82074877665295,6.467203816759654,0.9928026,1.242658e-06,1550.0
1777573869.7724628,76.80619564865663,6.551978652127211,76.80619564865663,6.551978652127211,0.9923326,1.228416e-06,1550.0
1777573879.7745426,76.7189341764582,6.471861963634067,76.7189341764582,6.471861963634067,0.9929082,1.180024e-06,1550.0
1777573889.776322,76.81060742367913,6.380578327713825,76.81060742367913,6.380578327713825,0.992839,1.158102e-06,1550.0
1777573899.7784257,76.89082151499746,6.425286224467883,76.89082151499746,6.425286224467883,0.9928356,1.158338e-06,1550.0
1777573909.781273,77.38614352888806,6.590882486416594,77.38614352888806,6.590882486416594,0.9928774,1.180797e-06,1550.0
1777573919.783965,77.46011238023944,6.6051548650933025,77.46011238023944,6.6051548650933025,0.9931308,1.170862e-06,1550.0
1777573929.7861607,77.4936877070341,6.645892164327104,77.4936877070341,6.645892164327104,0.9932228,1.191139e-06,1550.0
1777573939.7887402,77.56794303728306,6.697985487060398,77.56794303728306,6.697985487060398,0.9930856,1.202202e-06,1550.0
1777573949.7908444,77.62827549311034,6.791423444290333,77.62827549311034,6.791423444290333,0.9930502,1.171098e-06,1550.0
1777573959.7934453,77.63005166227524,6.835260445195792,77.63005166227524,6.835260445195792,0.9932368,1.17337e-06,1550.0
1777573969.79548,77.6868317797727,6.862292593970065,77.6868317797727,6.862292593970065,0.9931026,1.245705e-06,1550.0
1777573979.7981029,77.66700744006118,6.866876256331111,77.66700744006118,6.866876256331111,0.9934402,1.182071e-06,1550.0
1777573989.800874,77.66408535530601,6.800057918262954,77.66408535530601,6.800057918262954,0.9934536,1.255704e-06,1550.0
1777573999.8059378,77.6662625949275,6.7565303145668665,77.6662625949275,6.7565303145668665,0.993371,1.168172e-06,1550.0
1777574009.8081832,77.77306192793989,6.874588268253572,77.77306192793989,6.874588268253572,0.9927714,1.191458e-06,1550.0
1777574019.8105178,77.74664857358437,6.790065534315874,77.74664857358437,6.790065534315874,0.9933812,1.25232e-06,1550.0
1777574029.8134494,78.03037727373315,6.79723323633296,78.03037727373315,6.79723323633296,0.9933646,1.25025e-06,1550.0
1777574039.816927,78.0261946818287,6.777248468438796,78.0261946818287,6.777248468438796,0.9935074,1.205762e-06,1550.0
1777574049.8189514,78.01719924444512,6.7389061327886415,78.01719924444512,6.7389061327886415,0.9936482,1.245227e-06,1550.0
1777574059.821454,78.05707710698624,6.756421452585791,78.05707710698624,6.756421452585791,0.9932224,1.220922e-06,1550.0
1777574069.8240054,77.9946820030965,6.763348512328923,77.9946820030965,6.763348512328923,0.9932956,1.240867e-06,1550.0
1777574079.8261528,78.01364690611533,6.766614371761168,78.01364690611533,6.766614371761168,0.9932646,1.293877e-06,1550.0
1777574089.8288782,78.020980765893,6.761509317806552,78.020980765893,6.761509317806552,0.9930802,1.274953e-06,1550.0
1777574099.8310397,78.01255828630457,6.6959056502640735,78.01255828630457,6.6959056502640735,0.9929032,1.255665e-06,1550.0
1777574109.833915,78.05077457123981,6.746767113737837,78.05077457123981,6.746767113737837,0.9928918,1.265821e-06,1550.0
1777574119.8367133,78.35335358284838,6.698145915243035,78.35335358284838,6.698145915243035,0.9930098,1.250488e-06,1550.0
1777574129.8389232,78.3078034381355,6.610277107781772,78.3078034381355,6.610277107781772,0.9932956,1.274713e-06,1550.0
1777574139.8418212,78.38074096545564,6.680452978529395,78.38074096545564,6.680452978529395,0.9927328,1.237241e-06,1550.0
1777574149.8440044,78.35025961075468,6.640403228649751,78.35025961075468,6.640403228649751,0.9929142,1.259749e-06,1550.0
1777574159.8463387,78.36372411894025,6.623781723013005,78.36372411894025,6.623781723013005,0.9928934,1.231206e-06,1550.0
1777574169.849108,78.46886187434676,6.799215670304112,78.46886187434676,6.799215670304112,0.9928776,1.206871e-06,1550.0
1777574179.8521101,78.58832357463154,6.78816904401399,78.58832357463154,6.78816904401399,0.9928378,1.226572e-06,1550.0
1777574189.8544981,78.52323556910468,6.788346660930481,78.52323556910468,6.788346660930481,0.992949,1.149016e-06,1550.0
1777574199.859587,78.63330076154931,6.937745406010842,78.63330076154931,6.937745406010842,0.9931528,1.263446e-06,1550.0
1777574209.8618336,78.62058109849741,6.907126541439051,78.62058109849741,6.907126541439051,0.9933128,1.264632e-06,1550.0
1777574219.8646863,78.66555828541517,6.96331078282958,78.66555828541517,6.96331078282958,0.9930294,1.173849e-06,1550.0
1777574229.8669796,77.48641114303594,7.636513273796492,77.48641114303594,7.636513273796492,0.9919368,1.131732e-06,1550.0
1777574239.8691835,80.29390433917698,6.381328902425446,80.29390433917698,6.381328902425446,0.993754,1.254216e-06,1550.0
1777574249.8718648,80.17071841322385,6.37249962280248,80.17071841322385,6.37249962280248,0.9942284,1.203526e-06,1550.0
